benchmark,exp,flow,wl_gr,vias_gr,time_gr,mem_gr,wl_dr,vias_dr,OFGW,OFGV,OFTW,OFTV,WWW,short_area,min_area,spacing,score,time_dr,mem_dr
ispd18_test1,contest,PL: Contest; GR: Contest; DR: LuLuRoute,na,na,na,na,185209713,33541,2846370,168,136050,0,4242010,667184800,0,6720,5761603,na,na
ispd18_test1,exp28,PL: Contest; GR: Contest; DR: DRCU,na,na,na,na,173418520,32402,871550,443,165640,0,2332830,16800,0,2,291291,8,402
ispd18_test1,exp151,PL: Contest; GR: Contest; DR: Triton,na,na,na,na,172900705,35447,2767455,747,377855,161,3833985,0,0,0,304904,18.7973,741.13
ispd18_test1,exp88,PL: Contest; GR: CUGR; DR: Triton,416257,35157,4.68594,213.105,170070250,36929,1545180,211,577170,154,3184160,0,0,0,299356,11.7425,675.32
ispd18_test1,exp40,PL: Eh?Placer; GR: CUGR; DR: Triton,431232,35411,4.1669,213.902,176299385,37511,1986410,248,589070,156,3231950,0,0,0,309582,10.9476,663.01
ispd18_test1,exp89,PL: DreamPlace; GR: CUGR; DR: Triton,429522,35427,4.65385,213.859,176178875,37575,2033380,294,607870,147,3209395,0,0,0,309681,11.4234,659.38
ispd18_test1,expT2,PL: ILP-Based; GR: ILP-based; DR: Triton,434140,28957,4.738,na,181428995,37193,2771280,408,363040,154,3082265,0,0,0,316822,71.8197,na
ispd18_test1,exp90,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),416426,34998,6.13427,359.316,170163045,36853,1486350,213,579330,153,3220960,0,0,0,299268,11.2165,675.52
ispd18_test1,exp91,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),416266,34070,32.7589,782.543,170614945,36485,1343790,207,605560,152,3366790,0,0,0,299131,11.46,664.07
ispd18_test1,exp152,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),415336,35604,10.002,493,169762140,37207,75821960,9645,583990,157,3115860,0,0,0,494493,11.33,676
