benchmark,rank,flow,score,gap
ispd18_test1,1,PL: Contest; GR: Contest; DR: DRCU,291291,0
ispd18_test1,2,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),299131,7840
ispd18_test1,3,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),299268,7977
ispd18_test1,4,PL: Contest; GR: CUGR; DR: Triton,299356,8065
ispd18_test1,5,PL: Contest; GR: Contest; DR: Triton,304904,13613
ispd18_test1,6,PL: Eh?Placer; GR: CUGR; DR: Triton,309582,18291
ispd18_test1,7,PL: DreamPlace; GR: CUGR; DR: Triton,309681,18390
ispd18_test1,8,PL: ILP-Based; GR: ILP-based; DR: Triton,316822,25531
ispd18_test1,9,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),494493,203202
ispd18_test1,10,PL: Contest; GR: Contest; DR: LuLuRoute,5761603,5470312
ispd18_test2,1,PL: Contest; GR: Contest; DR: DRCU,4700933,0
ispd18_test2,2,PL: Eh?Placer; GR: CUGR; DR: Triton,4743761,42828
ispd18_test2,3,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),4799436,98503
ispd18_test2,4,PL: Contest; GR: CUGR; DR: Triton,4799653,98720
ispd18_test2,5,PL: ILP-Based; GR: ILP-based; DR: Triton,4803296,102363
ispd18_test2,6,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),4805116,104183
ispd18_test2,7,PL: Contest; GR: Contest; DR: Triton,4832011,131078
ispd18_test2,8,PL: DreamPlace; GR: CUGR; DR: Triton,4862874,161941
ispd18_test2,9,PL: CRP(10); GR: CRP(10); DR: Triton (wl_abs_cost; PR first iteration of GR is applied),9908277,5207344
ispd18_test2,10,PL: Contest; GR: Contest; DR: LuLuRoute,82542696,77841763
ispd18_test3,1,PL: Eh?Placer; GR: CUGR; DR: Triton,5229849,0
ispd18_test3,2,PL: ILP-Based; GR: ILP-based; DR: Triton,5270054,40205
ispd18_test3,3,PL: CRP(10); GR: CRP(10); DR: Triton (path_cost; PR last iteration of GR is applied),5277894,48045
ispd18_test3,4,PL: CRP(1); GR: CRP(1); DR: Triton (path_cost; PR last iteration of GR is applied),5277996,48147
ispd18_test3,5,PL: Contest; GR: CUGR; DR: Triton,5279470,49621
ispd18_test3,6,PL: Contest; GR: Contest; DR: DRCU,5298745,68896
ispd18_test3,7,PL: Contest; GR: Contest; DR: Triton,5299713,69864
ispd18_test3,8,PL: DreamPlace; GR: CUGR; DR: Triton,5324850,95001
